Material_ID,Bulk_Modulus_K,Shear_Modulus_G,Young_Modulus_E,Poisson_Ratio,Material Class
mp-861640,172.0003343,76.46263559,199.7833829,0.306411827,Metals
mp-861913,49.68254431,33.95578659,82.96614832,0.221679081,Composites
mp-861946,57.65003458,43.39260604,104.0676026,0.199139809,Metals
mp-861953,193.541725,66.52101371,179.0496919,0.345813014,Metals
mp-862287,199.2299466,103.1099998,263.8176943,0.279302176,Metals
mp-862288,238.3761616,80.90247328,218.0405016,0.34755152,Metals
mp-862296,151.9981951,-2.963681319,-8.949208246,0.509812845,Unknown
mp-862297,147.5850612,66.97867376,174.5331681,0.302901045,Metals
mp-862445,268.4516798,143.4909892,365.3738999,0.273159736,Metals
mp-862446,240.987944,132.5668837,336.0758198,0.267570793,Metals
mp-862486,123.1365284,54.62007259,142.7530692,0.306782126,Metals
mp-862543,109.0611896,46.65942953,122.5075666,0.312784659,Metals
mp-862546,110.7426345,41.71412184,111.1824372,0.332671434,Metals
mp-862548,76.17128207,55.78827054,134.5230112,0.205656761,Metals
mp-862555,50.30615316,35.36037624,85.9442806,0.21526253,Metals
mp-862602,146.3907013,94.12588976,232.5386493,0.235253392,Metals
mp-862632,29.04290057,22.36102414,53.38273488,0.193655857,Composites
mp-862700,270.5249578,140.6376825,359.5983124,0.278456478,Metals
mp-862705,220.9416619,109.0734563,280.9823476,0.288041826,Metals
mp-862717,97.73502819,43.90182333,114.553314,0.304653261,Metals
mp-862778,230.7591376,114.7473287,295.2957194,0.286721541,Metals
mp-862781,230.9307439,111.3202573,287.7276894,0.292342007,Metals
mp-862837,77.24749305,15.22860326,42.86875498,0.407507775,Metals
mp-862838,86.00456578,16.81690467,47.36363112,0.40821489,Metals
mp-863698,48.97377395,33.61687056,82.07185958,0.220694524,Composites
