Material,c11,c12,c13,c14,c15,c16,c21,c22,c23,c24,c25,c26,c31,c32,c33,c34,c35,c36,c41,c42,c43,c44,c45,c46,c51,c52,c53,c54,c55,c56,c61,c62,c63,c64,c65,c66,Bulk Modulus (K),Shear Modulus (G),Young Modulus (E),Poisson's Ratio (v)
JVASP-104766,358.5,124.6,87.8,0,-2,0,124.6,358.5,87.8,0,2,0,87.8,87.8,380.4,0,0,0,0,0,0,116.9,0,-2,-2,2,0,0,98.6,0,0,0,0,-2,0,98.6,188.6444444,115.9666667,288.7347216,0.244903945
JVASP-36201,378.4,45.5,145.2,0,0,0,45.5,378.4,145.2,0,0,0,145.2,145.2,271.6,0,0,0,0,0,0,65.9,0,0,0,0,0,0,162.6,0,0,0,0,0,0,162.6,188.9111111,124.3866667,305.999263,0.230032411
JVASP-35106,282.4,149,149,0,0,0,149,282.4,149,0,0,0,149,149,282.4,0,0,0,0,0,0,173.3,0,0,0,0,0,0,173.3,0,0,0,0,0,0,173.3,193.4666667,130.66,319.9521728,0.224369252
JVASP-35109,268.8,141.6,141.6,0,0,0,141.6,268.8,141.6,0,0,0,141.6,141.6,268.8,0,0,0,0,0,0,155.5,0,0,0,0,0,0,155.5,0,0,0,0,0,0,155.5,184,118.74,293.1589588,0.234457465
JVASP-115089,43.3,1,1.2,0,-0.2,0,1,223.9,48.6,0,-1.6,0,1.2,48.6,268.3,0,-9.8,0,0,0,0,-11.8,0,0.4,-0.2,-1.6,-9.8,0,20,0,0,0,0,0.4,0,-9.7,70.78888889,32.01333333,83.45893554,0.303502742
JVASP-50544,371.2,122.5,122.3,0,0,0,122.5,488.8,137.6,0,0,0,122.3,137.6,292.3,0,0,0,0,0,0,79.9,0,0,0,0,0,0,85.4,0,0,0,0,0,0,132.2,213.0111111,110.8266667,283.3406271,0.278305284
JVASP-115094,272.7,113.7,113.7,0,0,0,113.7,272.7,113.7,0,0,0,113.7,113.7,272.7,0,0,0,0,0,0,31.6,0,0,0,0,0,0,31.6,0,0,0,0,0,0,31.6,166.7,50.76,138.2478815,0.361779763
JVASP-115096,332.1,-6.5,8.6,0,0,0,-6.5,332.1,8.6,0,0,0,8.6,8.6,62.2,0,0,0,0,0,0,0.9,0,0,0,0,0,0,-29.9,0,0,0,0,0,0,-29.9,83.08888889,35.93333333,94.21790556,0.311009818
JVASP-155763,37.6,62.1,68.2,0,0,0,62.1,37.6,68.2,0,0,0,68.2,68.2,64.8,0,0,0,0,0,0,-0.1,0,0,0,0,0,0,-8,0,0,0,0,0,0,-8,59.66666667,-7.12,-22.24482197,0.562136374
JVASP-111849,253.8,109.4,87.3,0,0,0,109.4,260.1,85.1,0,0,0,87.3,85.1,263.7,0,0,0,0,0,0,72.5,0,0,0,0,0,0,64.4,0,0,0,0,0,0,66.1,149.0222222,73.65333333,189.7062734,0.287832232
JVASP-133533,313.7,117.1,93.5,0,0,0,117.1,321.4,91.9,0,0,0,93.5,91.9,321.6,0,0,0,0,0,0,97.4,0,0,0,0,0,0,87.1,0,0,0,0,0,0,88.6,173.5222222,98.23333333,247.9169306,0.261877828
JVASP-103127,79.6,19,33.1,0,0,0,19,79.6,33.1,0,0,0,33.1,33.1,63.8,0,0,0,0,0,0,15.8,0,0,0,0,0,0,30,0,0,0,0,0,0,30,43.71111111,24.34666667,61.60264128,0.265114484
JVASP-50935,294.1,146.9,131.9,0,0,0,146.9,294.1,131.9,0,0,0,131.9,131.9,313.9,0,0,0,0,0,0,73.6,0,0,0,0,0,0,114.2,0,0,0,0,0,0,114.2,191.5,93.16,240.4835695,0.290701854
JVASP-135265,-1,-3.3,-0.7,0,0.6,0,-3.3,-61,-7.4,0,7.5,0,-0.7,-7.4,-2.6,0,5.8,0,0,0,0,-7.9,0,1.4,0.6,7.5,5.8,0,-4.5,0,0,0,0,1.4,0,-8.2,-9.711111111,-7.666666667,-18.20833333,0.1875
JVASP-135268,218.3,50,70.8,38.3,0,0,50,-73.8,-46.2,118.2,0,0,70.8,-46.2,-215.1,194.9,0,0,38.3,118.2,194.9,-275.6,0,0,0,0,0,0,-10.9,8.7,0,0,0,0,8.7,-90.6,8.733333333,-85.1,113.5629881,-1.667232598
